#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:102 out:104 type:b dur:2 cpbdur:2 q:35.71 aq:39.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:36.05 aq:39.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:36.46 aq:30.82 tex:1183 mv:162 misc:695 imb:0 pmb:20 smb:14380 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:36.34 aq:38.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:36.28 aq:40.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:36.40 aq:40.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:36.19 aq:24.22 tex:466 mv:94 misc:768 imb:0 pmb:22 smb:14378 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:36.32 aq:38.00 tex:0 mv:8 misc:648 imb:0 pmb:1 smb:14399 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:36.39 aq:40.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:36.25 aq:40.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
